Date,Close,Signal,Portfolio Value,Rise/Fall,Stocks Held,Cash in Hand,Stock
2020-01-01,251.1308135986328,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-02,258.9522705078125,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-03,255.20550537109372,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-06,247.52452087402344,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-07,248.4611968994141,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-08,245.88526916503903,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-09,260.4978942871094,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-10,260.3104858398437,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-13,260.9662475585937,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-14,263.1206359863281,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-15,264.619384765625,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-16,259.8890075683594,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-17,256.04852294921875,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-20,254.17507934570312,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-21,250.33457946777344,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-22,249.02322387695312,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-23,249.7725830078125,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-24,254.69027709960935,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-27,246.166259765625,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-28,239.0941467285156,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-29,244.71435546875,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-30,240.68653869628903,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-01-31,234.8321075439453,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-03,235.58148193359372,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-04,241.99794006347656,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-05,252.2080078125,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-06,258.9522705078125,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-07,261.62188720703125,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-10,260.3104858398437,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-11,270.47381591796875,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-12,275.11053466796875,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-13,274.7826538085937,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-14,270.84844970703125,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-17,269.9117431640625,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-18,266.7737731933594,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-19,263.07379150390625,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-20,263.96368408203125,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-24,242.5599670410156,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-25,245.9789276123047,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-26,244.29283142089844,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-27,236.14352416992188,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-02-28,220.7815399169922,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-02,220.1258544921875,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-03,230.8511199951172,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-04,230.054931640625,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-05,231.5067901611328,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-06,223.6853179931641,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-09,214.55245971679688,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-11,209.35372924804688,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-12,190.33860778808597,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-13,201.29806518554688,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-16,174.2272491455078,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-17,165.28172302246094,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-18,153.9475860595703,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-19,152.96405029296875,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-20,164.6260223388672,0,100000.0,0.0,0,100000.0,JSWSTEEL.NS_portfolio
2020-03-23,135.2602996826172,1,100000.0,0.0,100,86473.97,JSWSTEEL.NS_portfolio
2020-03-24,137.78944396972656,0,100252.91,252.91,100,86473.97,JSWSTEEL.NS_portfolio
2020-03-25,142.1919403076172,0,100693.16,440.25,100,86473.97,JSWSTEEL.NS_portfolio
2020-03-26,140.31851196289062,0,100505.82,-187.34,100,86473.97,JSWSTEEL.NS_portfolio
2020-03-27,141.86407470703125,0,100660.38,154.56,100,86473.97,JSWSTEEL.NS_portfolio
2020-03-30,133.3868865966797,1,99812.66,-847.72,200,73135.28,JSWSTEEL.NS_portfolio
2020-03-31,136.99322509765625,0,100533.93,721.27,200,73135.28,JSWSTEEL.NS_portfolio
2020-04-01,133.94891357421875,0,99925.06,-608.86,200,73135.28,JSWSTEEL.NS_portfolio
2020-04-03,131.79449462890625,1,99494.18,-430.88,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-07,148.09317016601562,0,104383.78,4889.6,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-08,144.81471252441406,0,103400.25,-983.54,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-09,155.77415466308594,0,106688.08,3287.83,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-13,157.0386962890625,0,107067.44,379.36,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-15,160.55136108398438,0,108121.24,1053.8,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-16,159.84884643554688,0,107910.49,-210.75,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-17,166.0779266357422,0,109779.21,1868.72,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-20,156.89822387695312,0,107025.3,-2753.91,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-21,149.4982452392578,0,104805.31,-2219.99,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-22,150.99697875976562,0,105254.93,449.62,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-23,149.82608032226562,0,104903.66,-351.27,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-24,143.55014038085938,0,103020.87,-1882.78,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-27,147.3437957763672,0,104158.97,1138.1,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-28,149.31089782714844,0,104749.1,590.13,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-29,153.71339416503906,0,106069.85,1320.75,300,59955.83,JSWSTEEL.NS_portfolio
2020-04-30,169.21588134765625,0,110720.6,4650.75,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-04,153.19822692871094,0,105915.3,-4805.3,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-05,153.5260772705078,0,106013.66,98.36,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-06,155.30581665039062,0,106547.58,533.92,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-07,161.3007354736328,0,108346.05,1798.48,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-08,157.9754180908203,0,107348.46,-997.6,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-11,163.50198364257812,0,109006.43,1657.97,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-12,166.9209442138672,0,110032.12,1025.69,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-13,170.80828857421875,0,111198.32,1166.2,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-14,164.11083984375,0,109189.08,-2009.23,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-15,163.26780700683594,0,108936.17,-252.91,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-18,152.91720581054688,0,105830.99,-3105.18,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-19,158.58428955078125,0,107531.12,1700.13,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-20,160.2235107421875,0,108022.89,491.77,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-21,159.1462860107422,0,107699.72,-323.17,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-22,155.63365173339844,0,106645.93,-1053.79,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-26,165.09437561035156,0,109484.14,2838.22,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-27,173.1032257080078,0,111886.8,2402.66,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-28,172.49435424804688,0,111704.14,-182.66,300,59955.83,JSWSTEEL.NS_portfolio
2020-05-29,172.5411834716797,0,111718.19,14.05,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-01,181.6740875244141,0,114458.06,2739.87,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-02,179.98800659179688,0,113952.23,-505.82,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-03,180.50320434570312,0,114106.79,154.56,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-04,179.84750366210938,0,113910.08,-196.71,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-05,184.577880859375,0,115329.2,1419.11,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-08,182.61077880859372,0,114739.07,-590.13,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-09,178.02093505859375,0,113362.11,-1376.95,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-10,178.8639373779297,0,113615.01,252.9,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-11,172.9627227783203,0,111844.65,-1770.36,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-12,176.9905548095703,0,113053.0,1208.35,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-15,172.1196746826172,0,111591.73,-1461.26,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-16,178.02093505859375,0,113362.11,1770.38,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-17,179.70701599121094,0,113867.94,505.82,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-18,181.15890502929688,0,114303.5,435.57,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-19,182.0019073486328,0,114556.4,252.9,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-22,185.4208984375,0,115582.1,1025.7,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-23,188.88671875,0,116621.85,1039.75,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-24,181.62725830078125,0,114444.01,-2177.84,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-25,181.2993927001953,0,114345.65,-98.36,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-26,180.45635986328125,0,114092.74,-252.91,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-29,178.6297607421875,0,113544.76,-547.98,300,59955.83,JSWSTEEL.NS_portfolio
2020-06-30,177.36524963378906,0,113165.41,-379.35,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-01,179.33230590820312,0,113755.52,590.12,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-02,182.14242553710935,0,114598.56,843.04,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-03,178.8639373779297,0,113615.01,-983.55,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-06,183.40773010253903,0,114978.15,1363.14,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-07,180.66253662109372,0,114154.59,-823.56,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-08,184.92233276367188,0,115432.53,1277.94,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-09,186.9102325439453,0,116028.9,596.37,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-10,182.9817657470703,0,114850.36,-1178.54,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-13,187.80950927734372,0,116298.68,1448.32,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-14,183.6917266845703,0,115063.35,-1235.33,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-15,184.4963531494141,0,115304.74,241.39,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-16,190.4127349853516,0,117079.65,1774.91,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-17,195.71380615234372,0,118669.97,1590.32,300,59955.83,JSWSTEEL.NS_portfolio
2020-07-20,195.7611389160156,0,118684.17,14.2,300,59955.83,JSWSTEEL.NS_portfolio
